Accession	Samples	Title	Description
GSE117083	12	Gene expression profiling of brain cortex pericytes from control and Rbpj-knockout mice at P7 and P10	Background: Pericytes are capillary-associated mural cells especially prominent in the central nervous system where they regulate vascular permeability and blood-brain barrier integrity. Despite their relevance for neurovascular unit homeostasis and their involvement in the pathobiology of neurodegenerative diseases, signalling mechanisms responsible for functional specialization and intercellular communication remain elusive.
GSE128069	18	A comparison of the transcriptional profiles of invariant NKT cells derived from Wild type  and Eomes conditional knockout mice	Functional subsets of iNKT cells, NKT1, NKT2 and NKT17, have been reported to arise during the thymus to peripheral differentiation stages. The key transcription factors for NKT1, NKT2 and NKT17 development in the thymus have been identified as T-bet, Gata3 and Rorγt, respectively. In contrast, these iNKT cell subsets can also undergo further differentiation in the periphery. Eomesodermin (Eomes) is a T-box transcription factor with high homology to T-bet and is expressed by activated CD8+ T cells as well as in resting and activated NK cells.
GSE130765	6	Next Generation Sequencing Analysis of Beta-actin knockout (KO) and wildtype (WT) Mouse Embryonic Fibroblast (MEFs) Transcriptomes Under Adipogenic Induced Conditions	mRNA profiles of beta-actin knockout (KO) and wild-type (WT) MEFs induced to adipocyte-like feature to study how global transcriptome changes during differentiation
GSE130596	9	Next Generation Sequencing Analysis of Beta-actin knockout (KO) Mouse Embryonic Fibroblast (MEFs) Transcriptomes Stimulated by Viral Mimics	mRNA profiles of beta-actin knockout (KO) MEFs stimulated by viral mimics to study how global transcriptome changes after innate viral immunity activation
GSE126534	12	Transcriptional profiling (RNA-seq) of wild-type and Arhgap35 knockout embryonic motor neurons (E12.5)	Ventral spinal cord regions micro-dissected from E12.5 Arhgap35 (aka, p190) knockout embryos or control littermates (wild-type or p190+/-) were pulled and dissociated with papain (Worthington Biochemical Cat# LK003153) according to the manufacturer’s instructions. Cells were sorted on a Becton Dickinson FACS Vantage SE DiVa using Coherent Sapphire 488 nm solid state laser and collected directly into RLT lysis buffer containing β-mercaptoethanol (Qiagen).
GSE122424	6	Gene expression in p75NTR knockout mouse liver	Comparison of gene expression patterns in liver of wildtype and p75NTR knockout mice
GSE113837	6	Sequencing of Tumor infiltrating macrophages from B16f10 tumors in Wt and IFNγR knockout mice	We report the application of RNA sequencing to determine the transcriptional result of IFNgR deletion upon tumor associated macrophages within the B16f10 tumor microenvironment.
GSE130147	6	Transcriptome comparison of white adipose tissue between control and adipose specific HuR knockout mice	Human antigen R (HuR) is a member of the Hu family of RNA-binding proteins and is involved in many physiological processes. To investigate the role of adipose HuR, we generate adipose-specific HuR knockout (HuRAKO) mice. As compared with control mice, HuRAKO mice show obesity when induced with a high-fat diet, along with insulin resistance, glucose intolerance, hypercholesterolemia and increased inflammation in adipose tissue.
GSE129503	10	TBX5 Adult Knockout Atrial Gene Expression	TBX5 removed from adult mice with R26CreERt2, left and right atrial RNA extracted and sequenced.
GSE121478	4	Single-cell RNA-sequencing of murine melanoma infiltrating immune cells in wild-type and miR-155 T cell conditional knockout mice	miR-155 has recently emerged as an important promoter of antitumor immunity through its functions in T lymphocytes. However, the impact of T cell expressed miR-155 on immune cell  dynamics in solid tumors remains unclear. In the present study, we used single-cell RNA-sequencing to define the CD45+ immune cell populations within B16F10 murine melanoma tumors growing in either wild-type (WT) or miR-155 T cell conditional knockout (TCKO) mice at different timepoints.
GSE129137	8	RNA-seq using RNA from KDM4 WT and Knockout haematopoietic stem cells	The KDM4/JMJD2 are H3K9- and H3K36- specific demethylases, which are considered promising therapeutic targets for the treatment of acute myeloid leukemia (AML) harboring MLL-translocations. Here, we investigate the long-term effects of depleting KDM4 activity on normal hematopoiesis to probe potential side effects of continuous inhibition of these enzymes. Utilizing conditional Kdm4a/Kdm4b/Kdm4c triple-knockout mice we show that KDM4 activity is required for hematopoietic stem cell (HSC) maintenance in vivo.
GSE127275	8	Regulation of gene expression in undifferentiated spermatogonia by DDX5	The maintenance of spermatogenesis in adult males is dependent on a population of mitotic germ cells with self-renewal potential known as undifferentiated spermatogonia. Regulation of undifferentiated spermatogonia function is dependent on transcriptional and post-transcriptional mechanisms. We have identified an essential role for the RNA helicase DDX5 in undifferentiated spermatogonia through generation of a UBC-CreERT2;Ddx5flox/flox mouse model that allows tamoxifen-dependent Ddx5 ablation.
GSE126687	61	Transcriptom analysis of ZFP708 loss and overexpression in preimplantation embryos and embryonic stem cells	This work describes the function and targets of a maternal KRAB-Zinc finger protein, ZFP708, which specifically mediates maintenance of DNA-methylation at a subset of LTR retrotransposons during embryonic epigenetic reprogramming.
GSE120421	2	Single cell RNA-seq of Epidermal cells from newborn (P1) wildtype and BAP1 knockout mice	BAP1 deletion in primary mouse epidermal cell culture leads to increased melanocytes population. However, it is unclear whether BAP1 exhibits its function in melanocytes or in the progenitor cells for melanocytes, since the epidermal culture contains a mixed cell types. We aim to carry out a single cell RNAseq profiling with this system, and dissect BAP1's roles in different cell types.
GSE118617	12	RNA-seq profiling of basal and luminal mammary cells from Foxp1-deficient and control mice	Long-lived quiescent mammary stem cells (MaSCs) are presumed to coordinate the dramatic expansion of ductal epithelium that occurs through the different phases of postnatal development, but little is known about the molecular regulators that underpin the activation of MaSCs. Here we show that ablation of the transcription factor Foxp1 in the mammary gland profoundly impairs ductal morphogenesis, resulting in a rudimentary tree throughout adult life.
GSE107933	6	Transcriptome analysis of TNFR1-knockout mouse colon	We have compared mRNA expression in full-thickness mouse colon between wildtype mice and mice with a genetic deletion in tumor necrosis factor receptor 1 (TNFR1, encoded by the Tnfrsf1a gene). This experiment was motivated by our observation that Il10-/- Tnfr1-/- double-knockout mice develop very-early-onset colitis at the time of weaning, significantly earlier than disease onset in Il10-/- single-knockout mice.
GSE126217	9	RNAseq analysis of glomerular transcriptome of wild-type vs. Podocyte Cosmc knockout	Cosmc is an obligate chaperone for C1GalT1 T transferase necessary for generating mature mucin-type O-glycans.  Animals lacking Cosmc in glomerular podocytes develop proteinuria, glomerulosclerosis and progressive renal failure.  This study was designed to examine transcriptome differences in 1 month male animals with and without podocyte Cosmc, a time point when proteinuria is established but glomerular architecture is still relatively intact.
GSE123880	14	Differential gene expression in strital and cerebellar tissues from wildtype C57Bl/6 and Thap1 conditional knockout mice	RNA-seq study comparing gene expression in wildtype and nervous system specific Thap1  knock out mice at 6 months of age in striatal and cerebellar tissues.
GSE126762	6	RNA Sequencing Facilitates Quantitative Analysis of Albumin-Cre (Control, Ctl) and Liver-specific Klf15 Knockout (Li-KO) Mouse Liver Transcriptomes	The goals of this study are to compare control and liver Klf15 deficient mouse liver transcriptome profiling (RNA-seq) to microarray and quantitative reverse transcription polymerase chain reaction (qRT–PCR) methods and to evaluate protocols for optimal high-throughput data analysis
GSE107872	4	FTO controls reversible m6Am RNA methylation during snRNA biogenesis	Small nuclear RNAs (snRNAs) are core spliceosome components and mediate pre-mRNA splicing. Here we show that snRNAs contain a regulated and reversible nucleotide modification causing them to exist as two different methyl isoforms, m 1 and m 2 , reflecting the methylation state of the adenosine adjacent to the snRNA cap. We find that snRNA biogenesis involves the formation of an initial m 1 isoform with a single-methylated adenosine (2′-O-methyladenosine, Am), which is then converted to a dimethylated m 2 isoform (N 6 ,2′-O-dimethyladenosine, m 6 Am).
GSE96598	9	Expression pattern in dSG knockout mutant mice and effect of treatment with ifetroban	We sequenced RNA from left ventricle of dSG knockout and wild type mice treated with vehicle or ifetroban
GSE123726	2	The Forkhead Box F1 Transcription Factor Inhibits Collagen Deposition and Accumulation of Myofibroblasts During Liver Fibrosis	Hepatic fibrosis is the common end stage to a variety of chronic liver injuries and is characterized by an excessive deposition of extracellular matrix (ECM), which disrupts the liver architecture and impairs liver function. The fibrous lesions are produced by myofibroblasts, which differentiate from hepatic stellate cells (HSC). The myofibroblasts transcriptional networks remain poorly characterized.
GSE106339	8	Whole ovaries RNA sequencing; WT and ghrelin o-acyltransferase (GOAT) knockout mice	Ghrelin, an orexigenic gut-derived peptide, is gaining increasing attention due to its multifaceted role in a number of physiological functions, including metabolism, cardiovascular health, stress and reproduction. Ghrelin exists in circulation primarily as des-acylated and acylated ghrelin. Des-acyl ghrelin, until recently considered to be an inactive form ghrelin, is now known to have independent physiological functionality.
